{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9957095158079009, 'result_error_out_all': 0.99515382537317, 'result_error_in_mask': 0.9984436970317242, 'result_error_out_mask': 0.9986436460739183, 'result_false_positives': 0.38, 'result_false_negatives': 0.0, 'result_response_active': 6.670427909157307e-05, 'result_response_inactive': 3.7476947473842877e-06, 'result_auc': 0.9473684210526316}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 3, 'result_error_in_all': 0.992524158345451, 'result_error_out_all': 0.9937003119595902, 'result_error_in_mask': 0.9957966062408254, 'result_error_out_mask': 0.9968931400120591, 'result_false_positives': 0.0, 'result_false_negatives': 0.03, 'result_response_active': 0.46200631087852617, 'result_response_inactive': -0.009277521496791633, 'result_auc': 0.4}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 0, 'result_error_in_all': 0.9948312441432473, 'result_error_out_all': 0.9932936921660076, 'result_error_in_mask': 0.9951202839273569, 'result_error_out_mask': 0.9949043843043187, 'result_false_positives': 0.0, 'result_false_negatives': 0.02, 'result_response_active': 0.005646094310383931, 'result_response_inactive': 4.1620310070563e-05, 'result_auc': 0.9873684210526316}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 1, 'result_error_in_all': 0.9942029363740938, 'result_error_out_all': 0.9934244053342326, 'result_error_in_mask': 0.9941690026623429, 'result_error_out_mask': 0.9933924118252774, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_response_active': 0.004084639047422766, 'result_response_inactive': 5.267805656775259e-05, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 2, 'result_error_in_all': 0.994933827774204, 'result_error_out_all': 0.994720317997443, 'result_error_in_mask': 0.990405737731707, 'result_error_out_mask': 0.9903135712754608, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.00574731652640025, 'result_response_inactive': 2.765136104955884e-05, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 3, 'result_error_in_all': 0.992126447344168, 'result_error_out_all': 0.9935516037687714, 'result_error_in_mask': 0.9919933406359212, 'result_error_out_mask': 0.9930327410334483, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.008138088250379354, 'result_response_inactive': 4.119776248674558e-05, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9919312470145494, 'result_error_out_all': 0.9949613133209945, 'result_error_in_mask': 0.9949668844582422, 'result_error_out_mask': 0.9964842270297755, 'result_false_positives': 0.0, 'result_false_negatives': 0.24, 'result_response_active': 0.19227981583397316, 'result_response_inactive': 0.02337769867752717, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.99297808588244, 'result_error_out_all': 0.9938401385772588, 'result_error_in_mask': 0.9935564163309046, 'result_error_out_mask': 0.9951182291909935, 'result_false_positives': 0.0, 'result_false_negatives': 0.2, 'result_response_active': 0.19832071138465363, 'result_response_inactive': 0.01562120405834035, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.9869274578448951, 'result_error_out_all': 0.9926998081730899, 'result_error_in_mask': 0.9887245447591015, 'result_error_out_mask': 0.9942843278023441, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.22128171753884646, 'result_response_inactive': 0.017433456798146008, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 3, 'result_error_in_all': 0.9931420778478187, 'result_error_out_all': 0.9946519550421598, 'result_error_in_mask': 0.9939184905948683, 'result_error_out_mask': 0.9957047843482472, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.23144386149011426, 'result_response_inactive': 0.025618882869025108, 'result_auc': 0.9666666666666668}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 0, 'result_error_in_all': 0.9921770052464399, 'result_error_out_all': 0.9960326285133122, 'result_error_in_mask': 0.9932732397639084, 'result_error_out_mask': 0.9949172473380767, 'result_false_positives': 0.0, 'result_false_negatives': 0.2, 'result_response_active': 0.21857343888205646, 'result_response_inactive': 0.015381364528324639, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 1, 'result_error_in_all': 0.9929426808932605, 'result_error_out_all': 0.9938213686022053, 'result_error_in_mask': 0.9931121098593673, 'result_error_out_mask': 0.9945798945981571, 'result_false_positives': 0.0, 'result_false_negatives': 0.12, 'result_response_active': 0.2182613993686024, 'result_response_inactive': 0.010760645989118585, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 2, 'result_error_in_all': 0.9867896938693741, 'result_error_out_all': 0.9925368622845646, 'result_error_in_mask': 0.9887245447591015, 'result_error_out_mask': 0.9942843278023441, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.24229090435919848, 'result_response_inactive': 0.009475767780473841, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 3, 'result_error_in_all': 0.9933106246434744, 'result_error_out_all': 0.9948329504723031, 'result_error_in_mask': 0.9939184905948683, 'result_error_out_mask': 0.9957047843482472, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.22144364185750912, 'result_response_inactive': 0.030311884538258022, 'result_auc': 0.98}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 0, 'result_error_in_all': 1.004995830194541, 'result_error_out_all': 1.1191501460429911, 'result_error_in_mask': 0.9937589489777388, 'result_error_out_mask': 1.0010334974378081, 'result_false_positives': 0.52, 'result_false_negatives': 0.16, 'result_response_active': -5.921071998327636, 'result_response_inactive': 3.1204664918234384, 'result_auc': 0.5333333333333333}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 1, 'result_error_in_all': 0.9957325981283377, 'result_error_out_all': 1.004293307475875, 'result_error_in_mask': 0.9973510088228073, 'result_error_out_mask': 0.9988070076183914, 'result_false_positives': 0.56, 'result_false_negatives': 0.16, 'result_response_active': -9.783854927432843, 'result_response_inactive': 5.911718625622159, 'result_auc': 0.43999999999999995}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 2, 'result_error_in_all': 0.9897668581796741, 'result_error_out_all': 0.9984779038818923, 'result_error_in_mask': 0.9942871139600402, 'result_error_out_mask': 0.9978380732365176, 'result_false_positives': 0.0, 'result_false_negatives': 0.28, 'result_response_active': 12.680579152202032, 'result_response_inactive': -7.402573903113894, 'result_auc': 0.7533333333333333}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 3, 'result_error_in_all': 0.9957150527915385, 'result_error_out_all': 0.9980333365386018, 'result_error_in_mask': 0.9972652970666163, 'result_error_out_mask': 0.9990477397859576, 'result_false_positives': 0.0, 'result_false_negatives': 0.32, 'result_response_active': 0.8551264843226548, 'result_response_inactive': -0.34277210998708335, 'result_auc': 0.78}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 0, 'result_error_in_all': 0.9921011935991568, 'result_error_out_all': 0.9956572128884843, 'result_error_in_mask': 0.9932732397639084, 'result_error_out_mask': 0.9949172473380767, 'result_false_positives': 0.0, 'result_false_negatives': 0.2, 'result_response_active': 0.20827956188951888, 'result_response_inactive': 0.01806826142858116, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 1, 'result_error_in_all': 0.9928857298000107, 'result_error_out_all': 0.9937077129217845, 'result_error_in_mask': 0.993410528341426, 'result_error_out_mask': 0.9949860187999193, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.21358562482675786, 'result_response_inactive': 0.010183194713419686, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 2, 'result_error_in_all': 0.9868591803173934, 'result_error_out_all': 0.9926206025863459, 'result_error_in_mask': 0.9887245447591015, 'result_error_out_mask': 0.9942843278023441, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.2329329893807499, 'result_response_inactive': 0.011159801242144055, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 3, 'result_error_in_all': 0.9932734108822118, 'result_error_out_all': 0.9947159721423181, 'result_error_in_mask': 0.9939184905948683, 'result_error_out_mask': 0.9957047843482472, 'result_false_positives': 0.0, 'result_false_negatives': 0.16, 'result_response_active': 0.21369022609322816, 'result_response_inactive': 0.030201492550652284, 'result_auc': 0.9666666666666668}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9957692580189439, 'result_error_out_all': 0.9969497541175057, 'result_error_in_mask': 0.9953753500851037, 'result_error_out_mask': 0.9968415751770885, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.1926138027473065, 'result_response_inactive': 0.017016781025888293, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.9944918218394132, 'result_error_out_all': 0.9950382545529604, 'result_error_in_mask': 0.9944196602363868, 'result_error_out_mask': 0.9949617257860339, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.2970983860864832, 'result_response_inactive': 0.010400929499461132, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.9924103910869155, 'result_error_out_all': 0.9967077170352744, 'result_error_in_mask': 0.9924729663864497, 'result_error_out_mask': 0.9965691782760608, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.2437915800863153, 'result_response_inactive': 0.010061076714722693, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 3, 'result_error_in_all': 0.9974524600574847, 'result_error_out_all': 0.9977194712257883, 'result_error_in_mask': 0.9974121395265091, 'result_error_out_mask': 0.9975431855220499, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.25118208198548003, 'result_response_inactive': 0.01938885692848994, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 0, 'result_error_in_all': 0.9956334465458484, 'result_error_out_all': 0.9968404501966381, 'result_error_in_mask': 0.9953753500851037, 'result_error_out_mask': 0.9968415751770885, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.2144845940436629, 'result_response_inactive': 0.012254556477775111, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 1, 'result_error_in_all': 0.9945154196935099, 'result_error_out_all': 0.995044643026732, 'result_error_in_mask': 0.9944196602363868, 'result_error_out_mask': 0.9949617257860339, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.3203771450322638, 'result_response_inactive': 0.008001304149776784, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 2, 'result_error_in_all': 0.9924688263474581, 'result_error_out_all': 0.996848477907035, 'result_error_in_mask': 0.9924729663864497, 'result_error_out_mask': 0.9965691782760608, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.2755094451442987, 'result_response_inactive': 0.003986059640017773, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 3, 'result_error_in_all': 0.9974289133315364, 'result_error_out_all': 0.997699258387703, 'result_error_in_mask': 0.9974121395265091, 'result_error_out_mask': 0.9975431855220499, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.27116057646438413, 'result_response_inactive': 0.01891363507161848, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 0, 'result_error_in_all': 1.0109174006395811, 'result_error_out_all': 1.0999487413248905, 'result_error_in_mask': 0.9985626068654437, 'result_error_out_mask': 1.0001095221975502, 'result_false_positives': 0.8, 'result_false_negatives': 0.12, 'result_response_active': -195.22290095983553, 'result_response_inactive': 24.757878097465806, 'result_auc': 0.4}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 1, 'result_error_in_all': 0.9989666455269648, 'result_error_out_all': 1.0036627991002818, 'result_error_in_mask': 0.9980327876103113, 'result_error_out_mask': 0.999267231697266, 'result_false_positives': 0.76, 'result_false_negatives': 0.08, 'result_response_active': -21.127224161154878, 'result_response_inactive': 6.759214515435081, 'result_auc': 0.36}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 2, 'result_error_in_all': 0.9935530505186176, 'result_error_out_all': 0.9990981601269063, 'result_error_in_mask': 0.9944344674557878, 'result_error_out_mask': 0.9979443960605487, 'result_false_positives': 0.0, 'result_false_negatives': 0.08, 'result_response_active': 18.395706399668615, 'result_response_inactive': -4.515587388862249, 'result_auc': 0.8}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 3, 'result_error_in_all': 0.9986316242589938, 'result_error_out_all': 0.9990893098896495, 'result_error_in_mask': 0.9989833898288936, 'result_error_out_mask': 0.9994099118036578, 'result_false_positives': 0.68, 'result_false_negatives': 0.04, 'result_response_active': 0.28984431286645884, 'result_response_inactive': -0.09233551253886715, 'result_auc': 0.71}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 0, 'result_error_in_all': 0.9956636868407309, 'result_error_out_all': 0.9968303808805791, 'result_error_in_mask': 0.9953753500851037, 'result_error_out_mask': 0.9968415751770885, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.20645207451853648, 'result_response_inactive': 0.012980093199886106, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 1, 'result_error_in_all': 0.9944939691223288, 'result_error_out_all': 0.9950479900239115, 'result_error_in_mask': 0.9944196602363868, 'result_error_out_mask': 0.9949617257860339, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.3001200208973356, 'result_response_inactive': 0.008650903663639378, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 2, 'result_error_in_all': 0.9924662038721194, 'result_error_out_all': 0.9968071655478561, 'result_error_in_mask': 0.9924729663864497, 'result_error_out_mask': 0.9965691782760608, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.26054512231729204, 'result_response_inactive': 0.005073377255443665, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.2, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_ridgecv_bag', 'seed': 3, 'result_error_in_all': 0.9974449750483282, 'result_error_out_all': 0.9977363951607983, 'result_error_in_mask': 0.9977113757252325, 'result_error_out_mask': 0.9984898424855774, 'result_false_positives': 0.0, 'result_false_negatives': 0.08, 'result_response_active': 0.2703468069099513, 'result_response_inactive': 0.0169626610549932, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9187366853823433, 'result_error_out_all': 0.9336199195512678, 'result_error_in_mask': 0.9175685154704364, 'result_error_out_mask': 0.9319335208348961, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.4279547361673271, 'result_response_inactive': 0.02594658622777912, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.9329631330956896, 'result_error_out_all': 0.924776725806124, 'result_error_in_mask': 0.9366721679496752, 'result_error_out_mask': 0.9392794597641444, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.45739679747833584, 'result_response_inactive': 0.014722446764646503, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 25, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.8882683914964018, 'result_error_out_all': 0.9236201047725244, 'result_error_in_mask': 0.8873729605418811, 'result_error_out_mask': 0.9222150176697556, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.48177931773252763, 'result_response_inactive': 0.022643205938831335, 'result_auc': 1.0}
