{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9947387310222118, 'result_error_out_all': 0.9992323486745183, 'result_error_in_mask': 0.9947387310222118, 'result_error_out_mask': 0.9992323486745183, 'result_false_positives': 0.0, 'result_false_negatives': 0.2}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9970930092094057, 'result_error_out_all': 0.9999627300504182, 'result_error_in_mask': 0.9970930092094057, 'result_error_out_mask': 0.9999627300504182, 'result_false_positives': 0.57, 'result_false_negatives': 0.01}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 1.0996096492747796, 'result_error_out_all': 1.0142594409085381, 'result_error_in_mask': 1.0996096492747798, 'result_error_out_mask': 1.0142594409085384, 'result_false_positives': 0.36, 'result_false_negatives': 0.02}
{'model': 'ols', 'n_samples': 100, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 1.0093186998705177, 'result_error_out_all': 1.0021464492152308, 'result_error_in_mask': 1.0059596186602016, 'result_error_out_mask': 1.0009163258400726, 'result_false_positives': 0.12, 'result_false_negatives': 0.1}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.998467921675218, 'result_error_out_all': 1.0227944214872886, 'result_error_in_mask': 0.998467921675218, 'result_error_out_mask': 1.0227944214872886, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9999650086408353, 'result_error_out_all': 0.9999917439670355, 'result_error_in_mask': 0.9999650086408353, 'result_error_out_mask': 0.9999917439670355, 'result_false_positives': 0.62, 'result_false_negatives': 0.01}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.999401807520792, 'result_error_out_all': 0.999796074084526, 'result_error_in_mask': 0.999401807520792, 'result_error_out_mask': 0.999796074084526, 'result_false_positives': 0.08, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 1.0056590236025358, 'result_error_out_all': 1.0666519039137203, 'result_error_in_mask': 1.0056590236025358, 'result_error_out_mask': 1.0666519039137203, 'result_false_positives': 0.3, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9996168977052243, 'result_error_out_all': 0.9999892144745539, 'result_error_in_mask': 0.9996619452686165, 'result_error_out_mask': 0.9999969252576022, 'result_false_positives': 0.28, 'result_false_negatives': 0.03}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 1.0251689999313127, 'result_error_out_all': 1.0812604622885102, 'result_error_in_mask': 1.0251689999313127, 'result_error_out_mask': 1.0812604622885098, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9998663532384832, 'result_error_out_all': 0.9999821056702085, 'result_error_in_mask': 0.9998663532384832, 'result_error_out_mask': 0.9999821056702085, 'result_false_positives': 0.18, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9966806947160816, 'result_error_out_all': 0.9990615321436261, 'result_error_in_mask': 0.9966806947160816, 'result_error_out_mask': 0.9990615321436261, 'result_false_positives': 0.0, 'result_false_negatives': 0.1}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9999845482459349, 'result_error_out_all': 1.0000008159531046, 'result_error_in_mask': 0.9999845482459349, 'result_error_out_mask': 1.0000008159531046, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.9999625150573296, 'result_error_out_all': 0.9999894673779469, 'result_error_in_mask': 0.9999625150573296, 'result_error_out_mask': 0.9999894673779469, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 1.000614656028509, 'result_error_out_all': 0.9999919531101995, 'result_error_in_mask': 1.000614656028509, 'result_error_out_mask': 0.9999919531101995, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9998475980500617, 'result_error_out_all': 0.9999875181720573, 'result_error_in_mask': 0.9998475980500617, 'result_error_out_mask': 0.9999875181720573, 'result_false_positives': 0.21, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.9945949063238376, 'result_error_out_all': 1.0009261818308424, 'result_error_in_mask': 0.9945949063238376, 'result_error_out_mask': 1.0009261818308424, 'result_false_positives': 0.0, 'result_false_negatives': 0.2}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9999799764871387, 'result_error_out_all': 0.9999945875331332, 'result_error_in_mask': 0.9999799764871387, 'result_error_out_mask': 0.9999945875331332, 'result_false_positives': 0.2, 'result_false_negatives': 0.2}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9999393641157908, 'result_error_out_all': 1.0000038789971193, 'result_error_in_mask': 0.9999395982602926, 'result_error_out_mask': 0.9999995894193812, 'result_false_positives': 0.37, 'result_false_negatives': 0.01}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 1.0072878374242162, 'result_error_out_all': 1.0110271910629334, 'result_error_in_mask': 1.0072878374242162, 'result_error_out_mask': 1.0110271910629334, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 1.0204648462159227, 'result_error_out_all': 1.3375472143101355, 'result_error_in_mask': 1.0204648462159227, 'result_error_out_mask': 1.3375472143101352, 'result_false_positives': 0.5, 'result_false_negatives': 0.1}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9955199867289125, 'result_error_out_all': 0.9979856795600602, 'result_error_in_mask': 0.9955069901056336, 'result_error_out_mask': 0.9984695810946099, 'result_false_positives': 0.1, 'result_false_negatives': 0.2}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9997215336612238, 'result_error_out_all': 0.9999041491423554, 'result_error_in_mask': 0.9997215336612238, 'result_error_out_mask': 0.9999041491423554, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9999756826850703, 'result_error_out_all': 0.9999977848150569, 'result_error_in_mask': 0.9999756826850703, 'result_error_out_mask': 0.9999977848150569, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9998222187986934, 'result_error_out_all': 0.9999880227654256, 'result_error_in_mask': 0.9998222187986934, 'result_error_out_mask': 0.9999880227654256, 'result_false_positives': 0.32, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9999995684732872, 'result_error_out_all': 0.9999969984347702, 'result_error_in_mask': 0.9999995684732872, 'result_error_out_mask': 0.9999969984347702, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 1.012148964238532, 'result_error_out_all': 1.004044993542816, 'result_error_in_mask': 1.012148964238532, 'result_error_out_mask': 1.004044993542816, 'result_false_positives': 0.4, 'result_false_negatives': 0.2}
{'model': 'ols', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 1.000097538746081, 'result_error_out_all': 1.0000066444305178, 'result_error_in_mask': 1.000085627908024, 'result_error_out_mask': 1.000001170844753, 'result_false_positives': 0.16, 'result_false_negatives': 0.1}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9948676112322671, 'result_error_out_all': 0.9990633343038708, 'result_error_in_mask': 0.995145621916736, 'result_error_out_mask': 1.0015742784663713, 'result_false_positives': 0.2, 'result_false_negatives': 0.2}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9980605637994018, 'result_error_out_all': 1.0017883367063103, 'result_error_in_mask': 0.9968685197161533, 'result_error_out_mask': 1.000002369668765, 'result_false_positives': 0.1, 'result_false_negatives': 0.3}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9996178906937123, 'result_error_out_all': 1.0000024969861783, 'result_error_in_mask': 0.9998019520787623, 'result_error_out_mask': 1.000016512269785, 'result_false_positives': 0.28, 'result_false_negatives': 0.03}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.9999715083103243, 'result_error_out_all': 0.9999976030212347, 'result_error_in_mask': 0.9999715083103243, 'result_error_out_mask': 0.9999976030212347, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 100, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9999559061703723, 'result_error_out_all': 0.999988009184504, 'result_error_in_mask': 0.9994306135893243, 'result_error_out_mask': 0.9997490181439425, 'result_false_positives': 0.3, 'result_false_negatives': 0.3}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9994981913561812, 'result_error_out_all': 1.0000054008592474, 'result_error_in_mask': 0.999305764789399, 'result_error_out_mask': 1.0000477173555993, 'result_false_positives': 0.14, 'result_false_negatives': 0.06}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9971861657819826, 'result_error_out_all': 1.0006967118720385, 'result_error_in_mask': 0.9983199306461873, 'result_error_out_mask': 1.0138993427626612, 'result_false_positives': 0.1, 'result_false_negatives': 0.4}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 1.0005059607763709, 'result_error_out_all': 1.0222614936801435, 'result_error_in_mask': 1.0005059607763709, 'result_error_out_mask': 1.0222614936801435, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 1.0087011782742756, 'result_error_out_all': 1.0049744368803408, 'result_error_in_mask': 1.0087011782742756, 'result_error_out_mask': 1.0049744368803408, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9991222346538555, 'result_error_out_all': 0.9997076447401303, 'result_error_in_mask': 0.9991222346538555, 'result_error_out_mask': 0.9997076447401303, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 1.017338955002529, 'result_error_out_all': 1.0280420242725878, 'result_error_in_mask': 1.0173389550025287, 'result_error_out_mask': 1.0280420242725878, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.99926640708395, 'result_error_out_all': 0.9999613184899755, 'result_error_in_mask': 0.9992211691694116, 'result_error_out_mask': 0.9999753271317806, 'result_false_positives': 0.42, 'result_false_negatives': 0.04}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9956460490401412, 'result_error_out_all': 0.9965512546082516, 'result_error_in_mask': 0.9956460490401412, 'result_error_out_mask': 0.9965512546082516, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9951653107845562, 'result_error_out_all': 0.9965334530973841, 'result_error_in_mask': 0.9951653107845562, 'result_error_out_mask': 0.9965334530973841, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.999971642972139, 'result_error_out_all': 0.9999981877929565, 'result_error_in_mask': 0.999971642972139, 'result_error_out_mask': 0.9999981877929565, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9999251652684183, 'result_error_out_all': 0.9999856731237508, 'result_error_in_mask': 0.9999838275520296, 'result_error_out_mask': 0.9999828464052911, 'result_false_positives': 0.21, 'result_false_negatives': 0.02}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 1.0009897863712036, 'result_error_out_all': 0.9999574990446689, 'result_error_in_mask': 1.0020786361536713, 'result_error_out_mask': 1.0000360444389527, 'result_false_positives': 0.21, 'result_false_negatives': 0.03}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9997762453856196, 'result_error_out_all': 1.0000660504893657, 'result_error_in_mask': 0.9997762453856199, 'result_error_out_mask': 1.0000660504893657, 'result_false_positives': 0.1, 'result_false_negatives': 0.0}
