
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 1.0004228730390665, 'result_error_out_all': 1.000410428248799, 'result_error_in_mask': 1.0431968574096597, 'result_error_out_mask': 1.0623217853072322, 'result_false_positives': 0.36, 'result_false_negatives': 0.07, 'result_auc': 0.48108448928121056}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 1.0018697770809661, 'result_error_out_all': 1.0012192248903806, 'result_error_in_mask': 1.0226502312737513, 'result_error_out_mask': 1.0298562630470713, 'result_false_positives': 0.19, 'result_false_negatives': 0.02, 'result_auc': 0.5553613053613053}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9832487328981722, 'result_error_out_all': 0.9838367407979499, 'result_error_in_mask': 0.985830953913821, 'result_error_out_mask': 0.9869066579814649, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9945054945054945}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.082231537474275, 'result_error_out_all': 14.879461689473946, 'result_error_in_mask': 1.0064776647669145, 'result_error_out_mask': 1.018715074706265, 'result_false_positives': 0.11, 'result_false_negatives': 0.09, 'result_auc': 0.490530303030303}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9822599839252613, 'result_error_out_all': 0.982107527555233, 'result_error_in_mask': 0.9851710321593113, 'result_error_out_mask': 0.9855241333799385, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 0.999225097620223, 'result_error_out_all': 0.9993438132574932, 'result_error_in_mask': 0.9945753140936378, 'result_error_out_mask': 0.9964400282387802, 'result_false_positives': 0.0, 'result_false_negatives': 0.07, 'result_auc': 0.9639175257731959}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.064641173150068, 'result_error_out_all': 1.4489271489730395, 'result_error_in_mask': 1.0087480806826323, 'result_error_out_mask': 1.0265729398665613, 'result_false_positives': 0.2, 'result_false_negatives': 0.02, 'result_auc': 0.6289682539682538}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 0.9946282504065725, 'result_error_out_all': 0.9965742202323168, 'result_error_in_mask': 0.985830953913821, 'result_error_out_mask': 0.9869066579814649, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9945054945054945}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9930957526412709, 'result_error_out_all': 0.9927948526309994, 'result_error_in_mask': 0.9941943667344768, 'result_error_out_mask': 0.9939889160114157, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9947916666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.0965977979563664, 'result_error_out_all': 15.077882614954671, 'result_error_in_mask': 1.00784196867914, 'result_error_out_mask': 1.0158481863359088, 'result_false_positives': 0.11, 'result_false_negatives': 0.04, 'result_auc': 0.518939393939394}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9919567310544389, 'result_error_out_all': 0.9914001206680828, 'result_error_in_mask': 0.9933679484240893, 'result_error_out_mask': 0.9930525838879597, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 1.0008929705893632, 'result_error_out_all': 0.9994278709978209, 'result_error_in_mask': 1.0007654058691862, 'result_error_out_mask': 1.0008822951353387, 'result_false_positives': 0.04, 'result_false_negatives': 0.03, 'result_auc': 0.650709219858156}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.0787939527188168, 'result_error_out_all': 1.4674347880777634, 'result_error_in_mask': 1.0183230253982551, 'result_error_out_mask': 1.032315255498249, 'result_false_positives': 0.21, 'result_false_negatives': 0.02, 'result_auc': 0.549342105263158}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 0.9990599607860883, 'result_error_out_all': 0.9989524551868133, 'result_error_in_mask': 0.9976201485561462, 'result_error_out_mask': 0.9974481494788178, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_auc': 0.9797979797979798}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9155629663426921, 'result_error_out_all': 0.9140988150776587, 'result_error_in_mask': 0.9165995143820042, 'result_error_out_mask': 0.9152669613741766, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.9269717074987925, 'result_error_out_all': 0.9279665497438162, 'result_error_in_mask': 0.9276804447925032, 'result_error_out_mask': 0.9288076180793718, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.918834716159379, 'result_error_out_all': 0.9259257666867885, 'result_error_in_mask': 0.9193509222630035, 'result_error_out_mask': 0.9266750423232659, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 0, 'result_error_in_all': 0.9742420286442183, 'result_error_out_all': 0.9765642743305772, 'result_error_in_mask': 0.9510521606594725, 'result_error_out_mask': 0.960649872500783, 'result_false_positives': 0.01, 'result_false_negatives': 0.05, 'result_auc': 0.8900709219858157}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 1, 'result_error_in_all': 0.9874725842074659, 'result_error_out_all': 0.98948847795185, 'result_error_in_mask': 0.9704361237908966, 'result_error_out_mask': 0.9784807303655746, 'result_false_positives': 0.01, 'result_false_negatives': 0.06, 'result_auc': 0.868421052631579}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.0069042524764356, 'result_error_out_all': 13.818717600249796, 'result_error_in_mask': 0.9857247909770381, 'result_error_out_mask': 1.022544615507401, 'result_false_positives': 0.12, 'result_false_negatives': 0.08, 'result_auc': 0.5249169435215947}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 1, 'result_error_in_all': 1.023977809019969, 'result_error_out_all': 28.44484643332536, 'result_error_in_mask': 0.9947798158642243, 'result_error_out_mask': 1.0543935816489687, 'result_false_positives': 0.23, 'result_false_negatives': 0.08, 'result_auc': 0.48666666666666664}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 2, 'result_error_in_all': 1.0107438177883832, 'result_error_out_all': 328.6346297526724, 'result_error_in_mask': 0.99626276177594, 'result_error_out_mask': 1.030368079179833, 'result_false_positives': 0.15, 'result_false_negatives': 0.09, 'result_auc': 0.47767857142857145}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9155629663426921, 'result_error_out_all': 0.9140988150776587, 'result_error_in_mask': 0.9165995143820042, 'result_error_out_mask': 0.9152669613741766, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 1, 'result_error_in_all': 0.9269717074987925, 'result_error_out_all': 0.9279665497438162, 'result_error_in_mask': 0.9276804447925032, 'result_error_out_mask': 0.9288076180793718, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 2, 'result_error_in_all': 0.918834716159379, 'result_error_out_all': 0.9259257666867885, 'result_error_in_mask': 0.9193509222630035, 'result_error_out_mask': 0.9266750423232659, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 0.9424096020615829, 'result_error_out_all': 0.9590477557576348, 'result_error_in_mask': 0.9165995143820042, 'result_error_out_mask': 0.9152669613741766, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 1, 'result_error_in_all': 0.9573129192791424, 'result_error_out_all': 0.9739027816815075, 'result_error_in_mask': 0.9321214562691182, 'result_error_out_mask': 0.9338867305276317, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9945054945054945}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 2, 'result_error_in_all': 0.9481569498220107, 'result_error_out_all': 0.9698725065201765, 'result_error_in_mask': 0.9251125461757319, 'result_error_out_mask': 0.9335117545467784, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9945054945054945}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 0.9905588608041416, 'result_error_out_all': 1.3508830287655824, 'result_error_in_mask': 0.9229274685842107, 'result_error_out_mask': 0.9244390462811867, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9945054945054945}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 1, 'result_error_in_all': 1.0068081698734088, 'result_error_out_all': 1.3558811447857506, 'result_error_in_mask': 0.9435544501623012, 'result_error_out_mask': 0.9541569624556724, 'result_false_positives': 0.14, 'result_false_negatives': 0.0, 'result_auc': 0.7083333333333334}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 2, 'result_error_in_all': 0.9944813525109925, 'result_error_out_all': 1.3421187624281132, 'result_error_in_mask': 0.9251125461757319, 'result_error_out_mask': 0.9335117545467784, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9945054945054945}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 0.9346164847438748, 'result_error_out_all': 0.954685910524173, 'result_error_in_mask': 0.9165995143820042, 'result_error_out_mask': 0.9152669613741766, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 1, 'result_error_in_all': 0.9474862754771601, 'result_error_out_all': 0.9664094246660658, 'result_error_in_mask': 0.9276804447925032, 'result_error_out_mask': 0.9288076180793718, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 2, 'result_error_in_all': 0.9384877556610025, 'result_error_out_all': 0.9619937036404614, 'result_error_in_mask': 0.9193509222630035, 'result_error_out_mask': 0.9266750423232659, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9592683644240961, 'result_error_out_all': 0.9558645323431357, 'result_error_in_mask': 0.9597569967839096, 'result_error_out_mask': 0.9564228586526808, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.059494028286416, 'result_error_out_all': 14.521720024698636, 'result_error_in_mask': 0.9922624487274527, 'result_error_out_mask': 1.0077669822755362, 'result_false_positives': 0.12, 'result_false_negatives': 0.03, 'result_auc': 0.5539867109634551}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9592683644240961, 'result_error_out_all': 0.9558645323431357, 'result_error_in_mask': 0.9597569967839096, 'result_error_out_mask': 0.9564228586526808, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 0.9841946618269032, 'result_error_out_all': 0.9851769705009555, 'result_error_in_mask': 0.9597569967839096, 'result_error_out_mask': 0.9564228586526808, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.0423186649466938, 'result_error_out_all': 1.4166555488832793, 'result_error_in_mask': 0.9663813890733625, 'result_error_out_mask': 0.9652646730798723, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_auc': 0.9947916666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 1.0, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 0.975591080149826, 'result_error_out_all': 0.9838489290114505, 'result_error_in_mask': 0.9597569967839096, 'result_error_out_mask': 0.9564228586526808, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 1.0005608761216955, 'result_error_out_all': 1.0004526854804525, 'result_error_in_mask': 1.0557233007187294, 'result_error_out_mask': 1.1201948411424587, 'result_false_positives': 0.49, 'result_false_negatives': 0.06, 'result_auc': 0.47390606182256123}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.1034434973231086, 'result_error_out_all': 116.8192637398122, 'result_error_in_mask': 1.0156613416281186, 'result_error_out_mask': 1.0227555654198877, 'result_false_positives': 0.13, 'result_false_negatives': 0.07, 'result_auc': 0.5520833333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.999978626847151, 'result_error_out_all': 0.9999756426492543, 'result_error_in_mask': 1.0084889918593678, 'result_error_out_mask': 1.0126394572007347, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 1.0023408865297836, 'result_error_out_all': 1.0014811894867348, 'result_error_in_mask': 1.0079951757544996, 'result_error_out_mask': 1.009796568037491, 'result_false_positives': 0.07, 'result_false_negatives': 0.08, 'result_auc': 0.5671550671550671}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.08735107926711, 'result_error_out_all': 1.4424169556938475, 'result_error_in_mask': 1.0476971706483205, 'result_error_out_mask': 1.120426596471365, 'result_false_positives': 0.41, 'result_false_negatives': 0.05, 'result_auc': 0.5080515297906603}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 1.001642720896422, 'result_error_out_all': 1.0012582494528581, 'result_error_in_mask': 1.0119642066912649, 'result_error_out_mask': 1.015691003261042, 'result_false_positives': 0.09, 'result_false_negatives': 0.07, 'result_auc': 0.5852272727272726}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 1.000637391463345, 'result_error_out_all': 1.0005048285895335, 'result_error_in_mask': 1.056628400635697, 'result_error_out_mask': 1.122800441748687, 'result_false_positives': 0.52, 'result_false_negatives': 0.03, 'result_auc': 0.4859098228663446}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.103888490072632, 'result_error_out_all': 116.88306948720287, 'result_error_in_mask': 1.0158276252363596, 'result_error_out_mask': 1.023338134622767, 'result_false_positives': 0.15, 'result_false_negatives': 0.04, 'result_auc': 0.5074404761904762}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9999579904598035, 'result_error_out_all': 0.9999591157043182, 'result_error_in_mask': 1.004078302489251, 'result_error_out_mask': 1.0058291253014433, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 1.0025583712769546, 'result_error_out_all': 1.0014938194846605, 'result_error_in_mask': 1.0104409267938899, 'result_error_out_mask': 1.0123128333592912, 'result_false_positives': 0.09, 'result_false_negatives': 0.03, 'result_auc': 0.5740551583248212}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.0877938537102743, 'result_error_out_all': 1.4430767917027931, 'result_error_in_mask': 1.0479936281896547, 'result_error_out_mask': 1.1202916130198788, 'result_false_positives': 0.43, 'result_false_negatives': 0.02, 'result_auc': 0.5140901771336555}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 1.0016711700078111, 'result_error_out_all': 1.0012689027960573, 'result_error_in_mask': 1.0123870854029418, 'result_error_out_mask': 1.0152607908222755, 'result_false_positives': 0.12, 'result_false_negatives': 0.04, 'result_auc': 0.515473032714412}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'snr': 0.5, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9844602992664885, 'result_error_out_all': 0.9817972687542463, 'result_error_in_mask': 0.9873112290646944, 'result_error_out_mask': 0.9864080467089769, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
