{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 0, 'result_error_in_all': 0.9999981881066288, 'result_error_out_all': 0.9999996092063496, 'result_error_in_mask': 1.0002483436100138, 'result_error_out_mask': 1.0001844524323475, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6577777777777778}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 2, 'result_error_in_all': 0.9999803531142776, 'result_error_out_all': 0.9999857696750842, 'result_error_in_mask': 0.9999803531142776, 'result_error_out_mask': 0.9999857696750842, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 3, 'result_error_in_all': 0.9999224821075707, 'result_error_out_all': 0.9999116819041622, 'result_error_in_mask': 0.9999224821075707, 'result_error_out_mask': 0.9999116819041622, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 4, 'result_error_in_all': 0.9998827690993325, 'result_error_out_all': 0.9998765072305734, 'result_error_in_mask': 0.9998827690993325, 'result_error_out_mask': 0.9998765072305734, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 5, 'result_error_in_all': 0.9998197787590185, 'result_error_out_all': 0.9998708857079927, 'result_error_in_mask': 0.9998197787590185, 'result_error_out_mask': 0.9998708857079927, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 6, 'result_error_in_all': 0.9999793781093229, 'result_error_out_all': 0.9999781371324292, 'result_error_in_mask': 0.9999793781093229, 'result_error_out_mask': 0.9999781371324292, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 7, 'result_error_in_all': 0.9999992734353443, 'result_error_out_all': 0.9999555589102547, 'result_error_in_mask': 0.9999992734353443, 'result_error_out_mask': 0.9999555589102547, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 8, 'result_error_in_all': 0.9999728227326443, 'result_error_out_all': 0.9999796971542215, 'result_error_in_mask': 0.9999728227326443, 'result_error_out_mask': 0.9999796971542215, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 9, 'result_error_in_all': 0.9999747082730948, 'result_error_out_all': 0.9999854731070724, 'result_error_in_mask': 0.9999747082730948, 'result_error_out_mask': 0.9999854731070724, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 1.0025327068274705, 'result_error_out_all': 1.0006726834228243, 'result_error_in_mask': 1.0002209591460638, 'result_error_out_mask': 1.0001806793511532, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6711111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 1, 'result_error_in_all': 1.0044237522298827, 'result_error_out_all': 1.0014319651140322, 'result_error_in_mask': 1.0002381754634961, 'result_error_out_mask': 1.000198706166284, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5455555555555556}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 2, 'result_error_in_all': 1.0033860201129952, 'result_error_out_all': 1.0015387684274835, 'result_error_in_mask': 1.0000951431388891, 'result_error_out_mask': 1.000117002652057, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.44555555555555554}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 3, 'result_error_in_all': 1.003364602878257, 'result_error_out_all': 1.001194208257396, 'result_error_in_mask': 1.000363090306146, 'result_error_out_mask': 1.0003343866841257, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6122222222222223}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 4, 'result_error_in_all': 1.0039583341790812, 'result_error_out_all': 1.001248687454134, 'result_error_in_mask': 1.0000748309653882, 'result_error_out_mask': 1.0000880635010727, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.49}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 5, 'result_error_in_all': 1.003731372471802, 'result_error_out_all': 1.0017051060805438, 'result_error_in_mask': 1.0000667121109097, 'result_error_out_mask': 1.0000334393358485, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5888888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 6, 'result_error_in_all': 1.0040968498486897, 'result_error_out_all': 1.002046686416605, 'result_error_in_mask': 1.0003545382500294, 'result_error_out_mask': 1.0003323672181832, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.29333333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 7, 'result_error_in_all': 1.0036900146538996, 'result_error_out_all': 1.002286510621507, 'result_error_in_mask': 1.0003557511701375, 'result_error_out_mask': 1.000186660229728, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6155555555555556}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 8, 'result_error_in_all': 1.0033591481470665, 'result_error_out_all': 1.0017052097196484, 'result_error_in_mask': 1.000227031233159, 'result_error_out_mask': 1.0001697323823766, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4077777777777778}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 9, 'result_error_in_all': 1.0037847542037033, 'result_error_out_all': 1.001798108578682, 'result_error_in_mask': 1.0000395868096843, 'result_error_out_mask': 1.0000968332624718, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6822222222222223}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 0.9999770892902721, 'result_error_out_all': 0.9999849463916907, 'result_error_in_mask': 1.0007152244580264, 'result_error_out_mask': 1.0005886246578046, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6311111111111112}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 1, 'result_error_in_all': 0.9999654212351621, 'result_error_out_all': 0.9999868424450151, 'result_error_in_mask': 1.0005438638041193, 'result_error_out_mask': 1.0003097542531616, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.44777777777777783}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 2, 'result_error_in_all': 0.9999787875878632, 'result_error_out_all': 0.9999974277415301, 'result_error_in_mask': 1.0006708104994415, 'result_error_out_mask': 1.000428537213843, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5555555555555556}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 3, 'result_error_in_all': 0.999974185979162, 'result_error_out_all': 0.9999818223242125, 'result_error_in_mask': 1.000417757154803, 'result_error_out_mask': 1.000352694182622, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6322222222222222}
