{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.999998605236062, 'result_error_out_all': 0.9999991222739826, 'result_error_in_mask': 1.0007613445570012, 'result_error_out_mask': 1.0005456669885764, 'result_false_positives': 0.47, 'result_false_negatives': 0.05, 'result_response_active': 1.0587917858095555e-07, 'result_response_inactive': -6.67147963054313e-08, 'result_auc': 0.5211111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 5, 'result_error_in_all': 0.9999222269261898, 'result_error_out_all': 0.9999734110206099, 'result_error_in_mask': 0.9999755959336338, 'result_error_out_mask': 0.9999885285441711, 'result_false_positives': 0.27, 'result_false_negatives': 0.05, 'result_response_active': 0.12788038020331444, 'result_response_inactive': 0.01663615353139297, 'result_auc': 0.5733333333333334}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 6, 'result_error_in_all': 0.999980755680244, 'result_error_out_all': 0.9999865934879278, 'result_error_in_mask': 0.9999844527283182, 'result_error_out_mask': 0.9999825573432083, 'result_false_positives': 0.23, 'result_false_negatives': 0.02, 'result_response_active': 0.24459076689352513, 'result_response_inactive': 0.003493541258760362, 'result_auc': 0.8666666666666666}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 0, 'result_error_in_all': 0.9999573347234018, 'result_error_out_all': 0.9999811260414911, 'result_error_in_mask': 0.999974529001275, 'result_error_out_mask': 0.9999900414409835, 'result_false_positives': 0.37, 'result_false_negatives': 0.04, 'result_response_active': 0.19353522900491954, 'result_response_inactive': 0.0031619830599083796, 'result_auc': 0.6788888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 1, 'result_error_in_all': 0.9999963557936246, 'result_error_out_all': 0.9999977983149888, 'result_error_in_mask': 0.9999870783163707, 'result_error_out_mask': 0.9999860396044069, 'result_false_positives': 0.26, 'result_false_negatives': 0.03, 'result_response_active': 0.2513601888596895, 'result_response_inactive': -0.004165057498620526, 'result_auc': 0.7933333333333332}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 2, 'result_error_in_all': 0.9999952092611317, 'result_error_out_all': 0.9999981401860434, 'result_error_in_mask': 0.9999790799075767, 'result_error_out_mask': 0.9999951870889153, 'result_false_positives': 0.75, 'result_false_negatives': 0.01, 'result_response_active': 0.28633534935070204, 'result_response_inactive': -0.002770739545263091, 'result_auc': 0.6222222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 3, 'result_error_in_all': 0.9999593361393585, 'result_error_out_all': 0.9999645792796272, 'result_error_in_mask': 0.9999724129196879, 'result_error_out_mask': 0.999980384091338, 'result_false_positives': 0.25, 'result_false_negatives': 0.03, 'result_response_active': 0.21689165374264122, 'result_response_inactive': -0.0006730577052318647, 'result_auc': 0.8022222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 4, 'result_error_in_all': 0.9999677759486975, 'result_error_out_all': 0.9999627591307209, 'result_error_in_mask': 0.9999786975295866, 'result_error_out_mask': 0.999981963692857, 'result_false_positives': 0.28, 'result_false_negatives': 0.0, 'result_response_active': 0.2673001861665398, 'result_response_inactive': -0.007798557526014823, 'result_auc': 0.9444444444444444}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 5, 'result_error_in_all': 1.00083017652938, 'result_error_out_all': 1.0010295413555201, 'result_error_in_mask': 0.9999632025098755, 'result_error_out_mask': 0.9999845299860854, 'result_false_positives': 0.44, 'result_false_negatives': 0.02, 'result_response_active': 0.20312292243906996, 'result_response_inactive': 0.004781531007675868, 'result_auc': 0.7188888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_loo', 'seed': 6, 'result_error_in_all': 0.9999974845568058, 'result_error_out_all': 0.9999982399173555, 'result_error_in_mask': 0.9999936841626867, 'result_error_out_mask': 0.9999954410049612, 'result_false_positives': 0.0, 'result_false_negatives': 0.07, 'result_response_active': 0.2633477544062771, 'result_response_inactive': -0.0019934354744489406, 'result_auc': 0.9011111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 0, 'result_error_in_all': 0.9999999187312152, 'result_error_out_all': 0.9999999104063793, 'result_error_in_mask': 0.9999860813179996, 'result_error_out_mask': 0.9999858124893145, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.0523277812159129, 'result_response_inactive': 0.006537729303512828, 'result_auc': 0.9666666666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 1, 'result_error_in_all': 0.9999999278985024, 'result_error_out_all': 0.9999999397058789, 'result_error_in_mask': 0.9999915816584694, 'result_error_out_mask': 0.9999940172723425, 'result_false_positives': 0.0, 'result_false_negatives': 0.06, 'result_response_active': 0.042426673260901174, 'result_response_inactive': 0.007263717554066165, 'result_auc': 0.9344444444444444}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 2, 'result_error_in_all': 0.9999734126886661, 'result_error_out_all': 0.9999747048060851, 'result_error_in_mask': 0.999990358793962, 'result_error_out_mask': 0.9999886625394591, 'result_false_positives': 0.0, 'result_false_negatives': 0.05, 'result_response_active': 0.07641178610600002, 'result_response_inactive': 0.009380872797489743, 'result_auc': 0.9822222222222221}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 3, 'result_error_in_all': 1.0001743457539995, 'result_error_out_all': 1.0000682632841145, 'result_error_in_mask': 0.9999166178718525, 'result_error_out_mask': 0.9999027107939802, 'result_false_positives': 0.0, 'result_false_negatives': 0.06, 'result_response_active': 0.08409078009500763, 'result_response_inactive': 0.007499959253153577, 'result_auc': 0.9922222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 4, 'result_error_in_all': 0.9999234585762146, 'result_error_out_all': 0.9999047725870457, 'result_error_in_mask': 0.9999158520575293, 'result_error_out_mask': 0.999894176140464, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_response_active': 0.04310428563235883, 'result_response_inactive': 0.00420077779077181, 'result_auc': 0.9955555555555556}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 5, 'result_error_in_all': 0.9998920922574993, 'result_error_out_all': 0.9999044767706291, 'result_error_in_mask': 0.99989678091316, 'result_error_out_mask': 0.9999176015989125, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.062481012754104295, 'result_response_inactive': 0.0076995253004294665, 'result_auc': 0.9933333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_bag', 'seed': 6, 'result_error_in_all': 0.9999997859642837, 'result_error_out_all': 0.9999998157727178, 'result_error_in_mask': 0.9999862176914117, 'result_error_out_mask': 0.9999894020781485, 'result_false_positives': 0.0, 'result_false_negatives': 0.04, 'result_response_active': 0.08478897156740672, 'result_response_inactive': 0.010932631005904749, 'result_auc': 0.9944444444444445}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 0, 'result_error_in_all': 0.9999994548814863, 'result_error_out_all': 0.9999994154005862, 'result_error_in_mask': 0.9999869928236561, 'result_error_out_mask': 0.9999878941405769, 'result_false_positives': 0.0, 'result_false_negatives': 0.05, 'result_response_active': 0.13641515940350774, 'result_response_inactive': 0.008991065713702756, 'result_auc': 0.9977777777777778}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 1, 'result_error_in_all': 0.9999991512299241, 'result_error_out_all': 0.9999993134486089, 'result_error_in_mask': 0.9999915816584694, 'result_error_out_mask': 0.9999940172723425, 'result_false_positives': 0.0, 'result_false_negatives': 0.06, 'result_response_active': 0.15370355968384547, 'result_response_inactive': 0.006520938188412008, 'result_auc': 0.9888888888888888}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 2, 'result_error_in_all': 0.9999857792220392, 'result_error_out_all': 0.9999870238855469, 'result_error_in_mask': 0.9999885447293635, 'result_error_out_mask': 0.9999890717986658, 'result_false_positives': 0.0, 'result_false_negatives': 0.03, 'result_response_active': 0.212091115013686, 'result_response_inactive': 0.006529447725296199, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 3, 'result_error_in_all': 0.9999318388377283, 'result_error_out_all': 0.9999164788014091, 'result_error_in_mask': 0.9999166178718525, 'result_error_out_mask': 0.9999027107939802, 'result_false_positives': 0.0, 'result_false_negatives': 0.06, 'result_response_active': 0.1652207212089317, 'result_response_inactive': 0.006492168392539574, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 4, 'result_error_in_all': 0.9999393894342092, 'result_error_out_all': 0.9999221091648498, 'result_error_in_mask': 0.9999129066001167, 'result_error_out_mask': 0.9998754117353181, 'result_false_positives': 0.0, 'result_false_negatives': 0.03, 'result_response_active': 0.12918233433706114, 'result_response_inactive': 0.00655492315348194, 'result_auc': 0.9977777777777778}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 5, 'result_error_in_all': 0.9999082505198612, 'result_error_out_all': 0.9999243468137125, 'result_error_in_mask': 0.9998560541876823, 'result_error_out_mask': 0.9999023246648163, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_response_active': 0.15518387130414363, 'result_response_inactive': 0.010344075259947159, 'result_auc': 0.9988888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankcv_loo', 'seed': 6, 'result_error_in_all': 0.9999991553184718, 'result_error_out_all': 0.9999991953583511, 'result_error_in_mask': 0.9999878002654231, 'result_error_out_mask': 0.9999899625211717, 'result_false_positives': 0.0, 'result_false_negatives': 0.05, 'result_response_active': 0.16399220492676186, 'result_response_inactive': 0.009788576717131296, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 0, 'result_error_in_all': 1.015541413020948, 'result_error_out_all': 1.0194734623989021, 'result_error_in_mask': 0.999976359532441, 'result_error_out_mask': 0.9999832405599701, 'result_false_positives': 0.87, 'result_false_negatives': 0.0, 'result_response_active': -3.8967249307369682, 'result_response_inactive': 0.44266556797542567, 'result_auc': 0.31444444444444447}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 1, 'result_error_in_all': 1.0183480772050135, 'result_error_out_all': 1.0208598814356216, 'result_error_in_mask': 0.9999623053206058, 'result_error_out_mask': 0.9999919882362489, 'result_false_positives': 0.79, 'result_false_negatives': 0.01, 'result_response_active': -6.8638746202124805, 'result_response_inactive': 0.7681376149731783, 'result_auc': 0.39888888888888896}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 2, 'result_error_in_all': 1.0320095016459607, 'result_error_out_all': 1.0476702000385365, 'result_error_in_mask': 0.999979402535074, 'result_error_out_mask': 0.9999948223531447, 'result_false_positives': 0.58, 'result_false_negatives': 0.03, 'result_response_active': -1.2795484719109935, 'result_response_inactive': 0.17911320967130115, 'result_auc': 0.5144444444444445}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 3, 'result_error_in_all': 1.0192039442082232, 'result_error_out_all': 1.0238259372187135, 'result_error_in_mask': 0.9999972995179945, 'result_error_out_mask': 0.9999960570822767, 'result_false_positives': 0.04, 'result_false_negatives': 0.09, 'result_response_active': 1.8320631285306093, 'result_response_inactive': -0.1699315200981999, 'result_auc': 0.41000000000000003}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 4, 'result_error_in_all': 1.000022600554084, 'result_error_out_all': 1.0000057978323171, 'result_error_in_mask': 0.9999839283911026, 'result_error_out_mask': 0.9999923880877285, 'result_false_positives': 0.35, 'result_false_negatives': 0.05, 'result_response_active': 0.39954423013246554, 'result_response_inactive': -0.01729087610591841, 'result_auc': 0.5688888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 5, 'result_error_in_all': 1.0125424596960313, 'result_error_out_all': 1.012909014647335, 'result_error_in_mask': 1.0000482732738978, 'result_error_out_mask': 1.0000526801480059, 'result_false_positives': 0.11, 'result_false_negatives': 0.09, 'result_response_active': -0.5409899168371813, 'result_response_inactive': 0.08072072186921465, 'result_auc': 0.41666666666666663}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_bag', 'seed': 6, 'result_error_in_all': 1.0205144299163145, 'result_error_out_all': 1.0225410520665326, 'result_error_in_mask': 1.0002584348548358, 'result_error_out_mask': 1.000196242892166, 'result_false_positives': 0.16, 'result_false_negatives': 0.09, 'result_response_active': -5.304440425646528, 'result_response_inactive': 0.6194075185408373, 'result_auc': 0.4255555555555555}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 0, 'result_error_in_all': 1.0100465441625466, 'result_error_out_all': 1.0117930397012764, 'result_error_in_mask': 1.0001502788689085, 'result_error_out_mask': 1.0002732997346846, 'result_false_positives': 0.16, 'result_false_negatives': 0.08, 'result_response_active': -0.5792744045079342, 'result_response_inactive': 0.1041077564199495, 'result_auc': 0.528888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 1, 'result_error_in_all': 1.013773162463, 'result_error_out_all': 1.0145465519708055, 'result_error_in_mask': 0.9999685546138035, 'result_error_out_mask': 0.9999899675414664, 'result_false_positives': 0.73, 'result_false_negatives': 0.03, 'result_response_active': 4.273102935417136, 'result_response_inactive': -0.4493499192853155, 'result_auc': 0.49777777777777776}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 2, 'result_error_in_all': 1.0433457631562681, 'result_error_out_all': 1.0699890948179294, 'result_error_in_mask': 0.99997309370108, 'result_error_out_mask': 0.9999996267702359, 'result_false_positives': 0.78, 'result_false_negatives': 0.0, 'result_response_active': 3.9381035404925484, 'result_response_inactive': -0.40863201871409466, 'result_auc': 0.4933333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 3, 'result_error_in_all': 1.0279310395744001, 'result_error_out_all': 1.0407702057427501, 'result_error_in_mask': 0.9999764771326867, 'result_error_out_mask': 0.9999833303775931, 'result_false_positives': 0.9, 'result_false_negatives': 0.01, 'result_response_active': -15.38315162423692, 'result_response_inactive': 1.7127577496942554, 'result_auc': 0.48}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 4, 'result_error_in_all': 0.9999767834036113, 'result_error_out_all': 0.9999834171992814, 'result_error_in_mask': 0.9999884903426681, 'result_error_out_mask': 0.9999911249133552, 'result_false_positives': 0.56, 'result_false_negatives': 0.04, 'result_response_active': 0.4120264661139326, 'result_response_inactive': -0.018377464517812667, 'result_auc': 0.5855555555555556}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 5, 'result_error_in_all': 1.00405447018513, 'result_error_out_all': 1.0039764622159921, 'result_error_in_mask': 0.999966518546137, 'result_error_out_mask': 0.9999867040422968, 'result_false_positives': 0.23, 'result_false_negatives': 0.04, 'result_response_active': 2.268842802336549, 'result_response_inactive': -0.22598830184385846, 'result_auc': 0.6422222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_rankmle_loo', 'seed': 6, 'result_error_in_all': 1.0102986175547606, 'result_error_out_all': 1.0101845197258537, 'result_error_in_mask': 0.9999963626966056, 'result_error_out_mask': 0.9999936177911753, 'result_false_positives': 0.01, 'result_false_negatives': 0.09, 'result_response_active': 7.934174693367048, 'result_response_inactive': -0.8625658389167035, 'result_auc': 0.6466666666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ridgecv_bag', 'seed': 0, 'result_error_in_all': 0.999999833515155, 'result_error_out_all': 0.9999998236933311, 'result_error_in_mask': 0.9999869928236561, 'result_error_out_mask': 0.9999878941405769, 'result_false_positives': 0.0, 'result_false_negatives': 0.05, 'result_response_active': 0.07511401489626035, 'result_response_inactive': 0.005648026505256359, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ridgecv_bag', 'seed': 1, 'result_error_in_all': 0.9999998394277038, 'result_error_out_all': 0.9999998705204661, 'result_error_in_mask': 0.9999915816584694, 'result_error_out_mask': 0.9999940172723425, 'result_false_positives': 0.0, 'result_false_negatives': 0.06, 'result_response_active': 0.06567037524940005, 'result_response_inactive': 0.005009469930647448, 'result_auc': 0.9933333333333334}
